CODIGOS	DESCRIPCION	Unidad_Primaria
PTEM0117	MINI BAGEL AJONJOLI 45 GR 5 UND	PAQ
PTEM0132	PAN DE PERRO JUMBO ESPECIAL 85 GR WAN 6 UND	PAQ
PTEM0150	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND W A241	PAQ
PTEM0170	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAB A21	PAQ
PTEM0172	ROLL NAVIDEÑO 1 UND	UND
PTEM0188	CACHITO DE JAMON DE PAVO CONGELADO 4 UND	PAQ
PTEM0193	CACHITO DE PERNIL CONGELADO 4 UND	PAQ
PTEM0194	PAN DE PERRO DE MANTEQUILLA 63 G 8 UND	PAQ
PTEM0112	BAGEL BLUEBERRY 105 GR 4 UND	PAQ
PTEM0116	DISPONIBLE	PAQ
PTEM0121	DISPONIBLE	UND
PTEM0161	PAN DE HAMBURGUESA ARTESANAL 85 GR 6 UND	PAQ
PTEM0125	PAN DE PERRO 63 GR 8 UND AB	PAQ
PTEM0181	PAQUETE DE PALMERITAS 5 UND	PAQ
PTEM0160	PAN TIPO CHINO MINI 8 GR 54 UND	PAQ
PTEM0180	PAQUETE PDT GALLETAS	PAQ
PTEM0164	TOCINETA AHUMADA REBANADA PAQ 200 GR	PAQ
PTEM0156	CHOCO COOKIES PAQ 5 UND	PAQ
PTEM0115	MINI BAGEL AMAPOLA 45 GR 5 UND	PAQ
PTEM0185	PAN CUADRADO MASA MADRE 1 KG	PAQ
PTEM0140	PAN DE HAMBURGUESA TIPO BRIOCHE 95 GR 6 UND W A21	PAQ
PTEM0177	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND W A18	PAQ
PTEM0191	PAN DE HABURGUESA TIPO BRIOCHE 45 G 12 UND W	PAQ
PTEM0192	PAN DE HAMBURGUESA TIPO BRIOCHE  65 G 6 UND W	PAQ
PTEM0178	PAN DE HAMBURGUESA MINI ESPECIAL 40 GR 12 UND W	PAQ
PTEM0190	PAN DULCE 30 G 6 UND	PAQ
PTEM0131	PAN DE HAMBURGUESA ESPECIAL 85 GR 4 UND AB	PAQ
PTEM0141	PAN DE HAMBURGUESA TIPO BRIOCHE 70 GR 6 UND W A24	PAQ
PTEM0174	PAN DE PERRO JUMBO ESPECIAL 85 GR WAB 6 UND	PAQ
PTEM0182	PAN DE HAMBURGUESA TIPO BRIOCHE 120 GR WAM A18	PAQ
PTEM0186	CACHITOS DE JAMON COGELADO 4 UND	PAQ
PTEM0187	CACHITO DE JAMON Y QUESO CONGELADO 4 UND	PAQ
PTEM0189	CACHITO DE PAVO Y QUESO CREMA CONGELADO 4 UND	PAQ
PTEM0101	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAM A18	PAQ
PTEM0123	PAN DE PERRO JUMBO ESPECIAL 95 GR W 5 UND	PAQ
PTEM0124	PAN DE PERRO JUMBO ESPECIAL 85 GR WAM 6 UND	PAQ
PTEM0126	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND AN A18	PAQ
PTEM0129	PAN DE HAMBURGUESA ESPECIAL TIPO BRIOCHE 120 GR W A18	PAQ
PTEM0137	PAN DE HAMBURGUESA 70 GR 6 UND A15	PAQ
PTEM0147	PAN DE PERRO JUMBO ESPECIAL 85 GR AB 6 UND	UND
PTEM0148	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND W A18	PAQ
PTEM0149	PAN DE HAMBURGUESA ESPECIAL 55 GR 6 UND W A15	PAQ
PTEM0151	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAN A18	PAQ
PTEM0159	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND A24	PAQ
PTEM0179	PAQUETE DE TATICAS 100 GR	PAQ
PTEM0118	MINI BAGEL SPICY 45 GR 5 UND	PAQ
PTEM0184	PAN TIPO CHINO 20 G 15 UND	PAQ
PTSU0015	PAN DE PAVO GRANDE 1 KG 1 UND	UND
PTSU0002	CACHITO DE JAMON 130 GR 1UND	UND
PTSU0003	CACHITO DE JAMON DE PAVO 130 GR 1UND	UND
PTSU0004	CACHITO DE JAMON Y QUESO 130 GR 1 UND	UND
